,City,Cloudiness,Country,Date,Humidity,lat,lng,Max Temp,Wind Speed
0,Non Sung,68,TH,1548936000,45,15.18,102.26,82.4,3.36
1,Mar del Plata,64,AR,1548938627,60,-46.43,-67.52,56.84,17.72
2,Hithadhoo,20,MV,1548938870,100,-0.6,73.08,83.66,17.72
3,Perisani,75,RO,1548936000,86,45.38,24.4,39.2,3.36
4,Cape Town,20,ZA,1548936000,47,-33.93,18.42,80.6,29.97
5,Punta Arenas,90,CL,1548936000,93,-53.16,-70.91,42.8,10.29
6,Jamestown,0,AU,1548938871,51,-33.21,138.6,65.39,12.01
7,Port Alfred,100,ZA,1548938871,100,-33.59,26.89,69.08,11.23
8,Bekwai,76,GH,1548938871,58,6.46,-1.58,89.42,3.51
9,Nago,20,IT,1548937200,75,45.88,10.89,44.6,4.7
10,Hermanus,48,ZA,1548938872,53,-34.42,19.24,76.91,9.22
11,Chokurdakh,24,RU,1548938872,0,70.62,147.9,-41.63,2.95
12,Bredasdorp,40,ZA,1548936000,48,-34.53,20.04,82.4,11.41
13,Chodavaram,56,IN,1548936000,65,17.44,81.78,78.8,9.17
14,Saskylakh,64,RU,1548938872,67,71.97,114.09,-14.72,9.78
15,Constitucion,75,MX,1548933000,33,23.99,-104.67,46.4,4.7
16,New Norfolk,20,AU,1548936000,54,-42.78,147.06,53.6,11.41
17,Burgeo,56,CA,1548938873,100,47.61,-57.61,30.47,12.8
18,Jumla,92,NP,1548938873,100,29.28,82.18,27.81,1.95
19,Uarini,75,BR,1548936000,94,-2.98,-65.16,75.2,3.36
20,Sibolga,68,ID,1548938873,99,1.74,98.78,72.59,1.5
21,Busselton,0,AU,1548938873,78,-33.64,115.35,76.28,13.69
22,Bafata,20,GW,1548938873,34,12.17,-14.67,90.95,8.43
23,Te Anau,32,NZ,1548938874,62,-45.41,167.72,66.78,20.74
24,Rikitea,80,PF,1548938874,100,-23.12,-134.97,78.08,5.3
25,Sorland,0,NO,1548937200,73,67.67,12.69,35.6,4.7
26,Albany,1,US,1548937020,45,42.65,-73.75,-2.03,9.17
27,Mount Gambier,0,AU,1548936000,71,-37.83,140.78,50.0,6.93
28,Hobart,20,AU,1548936000,54,-42.88,147.33,53.6,11.41
29,Provideniya,36,RU,1548938874,100,64.42,-173.23,14.31,21.52
30,Bambous Virieux,75,MU,1548936000,66,-20.34,57.76,84.2,12.75
31,Bafoulabe,0,ML,1548938875,24,13.81,-10.83,90.41,8.32
32,Bezhanitsy,76,RU,1548938875,97,56.97,29.88,28.71,6.98
33,Buala,80,SB,1548938875,90,-8.15,159.59,82.26,9.22
34,Narsaq,20,GL,1548935400,48,60.91,-46.05,17.6,2.24
35,Tiksi,0,RU,1548938875,0,71.64,128.87,-43.56,2.95
36,Nizwa,0,OM,1548938876,17,22.93,57.53,86.09,1.39
37,Tamandare,88,BR,1548938876,97,-8.28,-70.75,75.78,3.62
38,Tessalit,0,ML,1548938876,30,20.2,1.01,81.05,4.74
39,Barrow,0,AR,1548938876,93,-38.31,-60.23,64.31,7.09
40,Yagodnoye,68,RU,1548938876,36,62.52,149.63,-26.24,2.17
41,Kapaa,90,US,1548935760,87,22.08,-159.32,71.96,18.34
42,Ranong,40,TH,1548936000,66,9.96,98.62,84.2,5.82
43,Dikson,0,RU,1548938877,84,73.51,80.55,-18.54,5.41
44,Verkhnevilyuysk,0,RU,1548938877,0,63.45,120.31,-39.83,4.41
45,Saint-Philippe,90,CA,1548938100,59,45.36,-73.48,3.2,18.34
46,Pevek,32,RU,1548938877,85,69.7,170.27,-19.4,4.74
47,Padang,56,ID,1548938877,100,-0.92,100.36,84.2,7.43
